"","DATE","GNP"
"1","1947-01-01",244.058
"2","1947-04-01",247.362
"3","1947-07-01",251.246
"4","1947-10-01",261.545
"5","1948-01-01",267.564
"6","1948-04-01",274.376
"7","1948-07-01",280.98
"8","1948-10-01",282.127
"9","1949-01-01",276.756
"10","1949-04-01",273.021
"11","1949-07-01",274.535
"12","1949-10-01",272.117
"13","1950-01-01",282.437
"14","1950-04-01",292.051
"15","1950-07-01",310.117
"16","1950-10-01",321.929
"17","1951-01-01",337.909
"18","1951-04-01",346.338
"19","1951-07-01",353.77
"20","1951-10-01",358.731
"21","1952-01-01",362.196
"22","1952-04-01",363.433
"23","1952-07-01",370.066
"24","1952-10-01",383.18
"25","1953-01-01",390.38
"26","1953-04-01",394.311
"27","1953-07-01",393.505
"28","1953-10-01",388.349
"29","1954-01-01",387.924
"30","1954-04-01",388.714
"31","1954-07-01",393.634
"32","1954-10-01",402.691
"33","1955-01-01",416.176
"34","1955-04-01",424.624
"35","1955-07-01",433.372
"36","1955-10-01",440.314
"37","1956-01-01",443.342
"38","1956-04-01",449.609
"39","1956-07-01",454.917
"40","1956-10-01",463.838
"41","1957-01-01",473.663
"42","1957-04-01",476.202
"43","1957-07-01",483.548
"44","1957-10-01",478.215
"45","1958-01-01",470.983
"46","1958-04-01",475.48
"47","1958-07-01",489.258
"48","1958-10-01",502.965
"49","1959-01-01",513.646
"50","1959-04-01",526.841
"51","1959-07-01",528.026
"52","1959-10-01",532.352
"53","1960-01-01",546.274
"54","1960-04-01",545.701
"55","1960-07-01",549.176
"56","1960-10-01",544.419
"57","1961-01-01",549.525
"58","1961-04-01",560.83
"59","1961-07-01",571.73
"60","1961-10-01",585.221
"61","1962-01-01",598.777
"62","1962-04-01",606.572
"63","1962-07-01",613.626
"64","1962-10-01",617.862
"65","1963-01-01",627.186
"66","1963-04-01",636.172
"67","1963-07-01",649.398
"68","1963-10-01",659.465
"69","1964-01-01",676.207
"70","1964-04-01",685.632
"71","1964-07-01",697.855
"72","1964-10-01",703.122
"73","1965-01-01",724.683
"74","1965-04-01",738.01
"75","1965-07-01",755.437
"76","1965-10-01",777.891
"77","1966-01-01",802.326
"78","1966-04-01",812.205
"79","1966-07-01",825.765
"80","1966-10-01",840.127
"81","1967-01-01",851.267
"82","1967-04-01",856.138
"83","1967-07-01",872.303
"84","1967-10-01",888.785
"85","1968-01-01",916.952
"86","1968-04-01",942.297
"87","1968-07-01",958.599
"88","1968-10-01",976.4
"89","1969-01-01",1001.753
"90","1969-04-01",1017.522
"91","1969-07-01",1037.964
"92","1969-10-01",1046.758
"93","1970-01-01",1059.815
"94","1970-04-01",1076.747
"95","1970-07-01",1095.045
"96","1970-10-01",1097.526
"97","1971-01-01",1145.226
"98","1971-04-01",1167.33
"99","1971-07-01",1187.573
"100","1971-10-01",1201.313
"101","1972-01-01",1241.982
"102","1972-04-01",1278.238
"103","1972-07-01",1302.756
"104","1972-10-01",1341.046
"105","1973-01-01",1391.35
"106","1973-04-01",1429.221
"107","1973-07-01",1450.69
"108","1973-10-01",1493.371
"109","1974-01-01",1511.721
"110","1974-04-01",1550.617
"111","1974-07-01",1578.673
"112","1974-10-01",1616.343
"113","1975-01-01",1630.949
"114","1975-04-01",1668.104
"115","1975-07-01",1726.81
"116","1975-10-01",1781.833
"117","1976-01-01",1840.255
"118","1976-04-01",1873.589
"119","1976-07-01",1907.619
"120","1976-10-01",1956.29
"121","1977-01-01",2013.299
"122","1977-04-01",2080.914
"123","1977-07-01",2143.272
"124","1977-10-01",2187.485
"125","1978-01-01",2230.781
"126","1978-04-01",2355.312
"127","1978-07-01",2419.756
"128","1978-10-01",2506.75
"129","1979-01-01",2557.235
"130","1979-04-01",2625.36
"131","1979-07-01",2706.482
"132","1979-10-01",2767.203
"133","1980-01-01",2834.512
"134","1980-04-01",2835.749
"135","1980-07-01",2894.458
"136","1980-10-01",3022.051
"137","1981-01-01",3163.202
"138","1981-04-01",3197.264
"139","1981-07-01",3293.897
"140","1981-10-01",3321.165
"141","1982-01-01",3309.801
"142","1982-04-01",3372.209
"143","1982-07-01",3402.099
"144","1982-10-01",3441.903
"145","1983-01-01",3514.372
"146","1983-04-01",3620.585
"147","1983-07-01",3730.124
"148","1983-10-01",3835.801
"149","1984-01-01",3949.814
"150","1984-04-01",4052.539
"151","1984-07-01",4124.734
"152","1984-10-01",4180.83
"153","1985-01-01",4262.701
"154","1985-04-01",4329.966
"155","1985-07-01",4417.057
"156","1985-10-01",4478.709
"157","1986-01-01",4538.503
"158","1986-04-01",4570.739
"159","1986-07-01",4637.805
"160","1986-10-01",4681.392
"161","1987-01-01",4750.599
"162","1987-04-01",4839.592
"163","1987-07-01",4918.274
"164","1987-10-01",5042.354
"165","1988-01-01",5115.604
"166","1988-04-01",5230.523
"167","1988-07-01",5319.648
"168","1988-10-01",5435.376
"169","1989-01-01",5549.748
"170","1989-04-01",5650.095
"171","1989-07-01",5735.852
"172","1989-10-01",5794.243
"173","1990-01-01",5920.354
"174","1990-04-01",6006.289
"175","1990-07-01",6056.641
"176","1990-10-01",6073.819
"177","1991-01-01",6094.324
"178","1991-04-01",6172.17
"179","1991-07-01",6243.535
"180","1991-10-01",6312.517
"181","1992-01-01",6413.531
"182","1992-04-01",6524.355
"183","1992-07-01",6615.758
"184","1992-10-01",6727.862
"185","1993-01-01",6786.195
"186","1993-04-01",6861.074
"187","1993-07-01",6941.236
"188","1993-10-01",7054.328
"189","1994-01-01",7164.52
"190","1994-04-01",7293.621
"191","1994-07-01",7374.445
"192","1994-10-01",7497.896
"193","1995-01-01",7575.946
"194","1995-04-01",7638.35
"195","1995-07-01",7726.169
"196","1995-10-01",7830.808
"197","1996-01-01",7931.307
"198","1996-04-01",8091.463
"199","1996-07-01",8185.79
"200","1996-10-01",8319.37
"201","1997-01-01",8426
"202","1997-04-01",8583.41
"203","1997-07-01",8715.613
"204","1997-10-01",8805.461
"205","1998-01-01",8915.91
"206","1998-04-01",9018.065
"207","1998-07-01",9156.91
"208","1998-10-01",9338.694
"209","1999-01-01",9469.19
"210","1999-04-01",9584.391
"211","1999-07-01",9736.818
"212","1999-10-01",9960.617
"213","2000-01-01",10061.805
"214","2000-04-01",10312.162
"215","2000-07-01",10386.733
"216","2000-10-01",10526.429
